;statement;issue;person;channel;truth
0;Says Sen. Bob Casey, D-Pa., “is trying to change the outcome of the election by counting NON-CITIZEN votes.”;2024-senate-elections;Elon Musk; in an X post;false
1;Says the election results are suspicious because opponent U.S. Sen. Baldwin won “nearly 90%” of absentee ballots in Milwaukee.;2024-senate-elections;Eric Hovde; in X, formerly Twitter;false
2;A “ballot dump” around 4 a.m. in Milwaukee shows the Wisconsin Senate election was stolen from the Republican candidate.;2024-senate-elections;Instagram posts; in an Instagram post;pants-fire
3;“Kari Lake is threatening Social Security and Medicare.”;2024-senate-elections;WinSenate; in a Facebook ad;half-true
4;Republican Senate candidate Sam Brown “wants to cut Medicaid and Social Security.”;2024-senate-elections;Make the Road Nevada; in an X post;half-true
5;Says opponent Eric Hovde “opposes efforts to negotiate with the big pharmaceutical companies to lower the price of prescription drugs.”;2024-senate-elections;Tammy Baldwin; in TV debate;barely-true
6;“Jacky Rosen voted to allow biological men to compete in women’s sports.”;2024-senate-elections;Sam Brown; in an X post;false
7;“In Montana, we cherish our public lands. But Tim Sheehy called to transfer them off, so the ultra-rich can buy them up.”;2024-senate-elections;Jon Tester; in a post on X;false
8;"Sen. Bob Casey ""has voted in lockstep with his liberal party to defund the police.""";2024-senate-elections;Dave McCormick; in a debate;false
9;"""Ruben Gallego wanted to defund the police. He actually co-sponsored legislation to defund the police.”";2024-senate-elections;Kari Lake; in a press conference;false
10;Ballot drop boxes 'were only used for a pandemic.';2024-senate-elections;Eric Hovde; in TV debate;false
11;Michigan U.S. Senate candidate Mike Rogers “wants to cut Medicare and Social Security.”;2024-senate-elections;United Auto Workers; in a Meta ad;false
12;Says opponent Eric Hovde “supports a $4 trillion tax plan that would disproportionately advantage the well-off and profitable corporations”;2024-senate-elections;Tammy Baldwin; in Interview;mostly-true
13;To pay for extending the Trump tax cuts, Dave McCormick has “made clear he’ll slash your Medicare and Social Security, and cut Medicaid for nursing home care.”;2024-senate-elections;Bob Casey; in a TV ad;false
14;Says opponent Eric Hovde “just proposed cutting Social Security by 28%.”;2024-senate-elections;Tammy Baldwin; in Campaign ad;barely-true
15;“About 400,000 manufacturing jobs in the state of Michigan will go away with EV mandates.”;2024-senate-elections;Mike Rogers; in a debate;false
16;Arizona U.S. Senate candidate Kari Lake “was against” the child tax credit expansion “when the bill was on the floor.”;2024-senate-elections;Ruben Gallego; in a debate;barely-true
17;Elissa Slotkin “signed a secret agreement with a CCP-linked Chinese battery company.”;2024-senate-elections;Michigan Republican Party; in an X post;false
18;“Dave McCormick is fully against abortion.”;2024-senate-elections;WinSenate; in a Meta ad;barely-true
19;U.S. Sen. Sherrod Brown “supported allowing puberty blockers and sex-change surgeries for minor children.”;2024-senate-elections;Senate Leadership Fund; in a campaign ad;barely-true
20;“Arizona was safe” when she moved to the state in 1994, but has become “unsafe.”;2024-senate-elections;Kari Lake; in a Senate debate;false
21;"Says Democratic opponent Tammy Baldwin ""gave stimulus checks to illegals.""";2024-senate-elections;Eric Hovde; in Campaign ad;false
22;U.S. Sen. Sherrod Brown voted to “allow transgender biological men to compete in girls’ sports.”;2024-senate-elections;Senate Leadership Fund; in a campaign ad;false
23;"Says Wisconsin GOP U.S. Senate candidate Eric Hovde ""brags about being in the 1%.""";2024-senate-elections;Democratic Senatorial Campaign Committee; in Campaign ad;mostly-true
24;Rep. Ruben Gallego is “controlled by the cartels. His own father was a Colombian drug trafficker, and so he’s got links to the cartel.”;2024-senate-elections;Kari Lake; in a TV interview;pants-fire
25;U.S. Senate candidate Mike Rogers “believes he should make that decision” about whether to end pregnancies.;2024-senate-elections;Elissa Slotkin; in a Meta ad;barely-true
26;"U.S. Sen. Jon Tester “voted to give taxpayer-funded health care to illegal immigrants.""";2024-senate-elections;Tim Sheehy; in an ad;false
27;The Inflation Reduction Act, which Rep. Elissa Slotkin supported, “drove inflation higher.”;2024-senate-elections;Americans for Prosperity Action; in a Meta ad;false
28;“MAGA Republicans like Kari Lake support Project 2025, which would raise the retirement age for 73% of Arizonans.”;2024-senate-elections;Ruben Gallego; in a post on X;barely-true
29;"Nevada Sen. Jacky Rosen said the Biden administration did a ""tremendous job"" on the U.S. military’s Afghanistan withdrawal.";2024-senate-elections;Sam Brown; in an X post;barely-true
30;Jon Tester “supported slashing Social Security benefits”;2024-senate-elections;Tim Sheehy; in an op-ed;false
31;“Two years ago, Bob Casey promised us his vote will reduce inflation. ... Casey’s vote for reckless spending” made inflation worse.;2024-senate-elections;Senate Leadership Fund; in a TV ad;barely-true
32;“Sam Brown publicly supported forcing massive cuts to Social Security and Medicare and was caught on tape saying he admires the plan to phase out Social Security and Medicare in five years.”;2024-senate-elections;Jacky Rosen; in an ad;barely-true
33;“Tim Sheehy told us his health care plan: ‘We need to return health care to pure privatization.’ That would eliminate Medicare.”;2024-senate-elections;Jon Tester; in a Facebook ad;barely-true
34;“If you make less than $100,000, Trump is about to raise your taxes. Currently, you’re taxed at 10% and then 12%. He would raise that to a flat rate of 15%.”;2024-senate-elections;Wisco Project; in Social media ads;false
